id,id,product_tag_ids,name,list_price,default_code,type,detailed_type,categ_id,categ_id/id
__import__.product_product_pt_0514_product_template,__import__.product_product_pt_0514_product_template,,14303. MOPAR 734453. INSERTO.,0.46,734453 FS 30 0000 00 000 INSERTO - INSERT 734453 MOPAR,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0516_product_template,__import__.product_product_pt_0516_product_template,,14305. MOPAR. 755027. INSERTO. CH. S.M.,1.04,755027 FS 30 99 0000 00 000 INSERTO -  INSERT 755027 MOPAR,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0517_product_template,__import__.product_product_pt_0517_product_template,,14306. Damper Ford DTP. Inserto.,1.37,428579 AS 30 99 0000 00 000 INSERTO- FORD DAMPER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0519_product_template,__import__.product_product_pt_0519_product_template,,14308. 241B. Export. Inserto.,0.00,INSERTO 241B EXPORT,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0533_product_template,__import__.product_product_pt_0533_product_template,,14322. Nextracker. 1 y 2. Charola Troquelada.,0.00,NEW NEXTRACKER BOX-CHAROLA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0535_product_template,__import__.product_product_pt_0535_product_template,,14324. Nextracker. 1 y 2. Tapa Troquelada.,0.00,NEW NEXTRACKER BOX-TAPA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0543_product_template,__import__.product_product_pt_0543_product_template,,14332 241B. Export. Lid Carboard.,2.28,428340 FS 30 99 0000 00 000 TAPA (DECK) LID CARDBOARD  1120X1165X762,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0596_product_template,__import__.product_product_pt_0596_product_template,,14385    CELDA 576,57.74,N61506576,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0066_product_template,__import__.product_product_pt_0066_product_template,,143907. Solares. Celda Troquelada.,0.00,BOX 143907 - CELDA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0067_product_template,__import__.product_product_pt_0067_product_template,,143907. Solares. Charola Troquelada.,0.00,BOX 143907 - CHAROLA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0065_product_template,__import__.product_product_pt_0065_product_template,,143907. Solares. Charola. Armada.,4.45,143907 FS 30 99 0000 00 000 CAJA PLAGABLE - BOX 143907,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_16018_fc313e4c,__export__.product_template_16018_fc313e4c,,143907. Solares. Inserto Troquelada.,1.00,INSERTO SOLARES,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0069_product_template,__import__.product_product_pt_0069_product_template,,143907. Solares. Tapa Troquelada.,0.00,BOX 143907 - TAPA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__export__.product_template_19330_6f57bdfb,__export__.product_template_19330_6f57bdfb,,"143D INSERT ""B"" XLPE BLACK D-2# PCF (214 X 25 X 38 mm)",1.00,RTM-6004,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable),__export__.product_category_27_83cdf959
__export__.product_template_19347_0ab27df4,__export__.product_template_19347_0ab27df4,,143D. DIAL. Charola.,1.00,CHAROLA DIAL 143D COROPLAST,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_19348_d9bcf4e8,__export__.product_template_19348_d9bcf4e8,,143D. Dial. A. Pieza.,1.00,DIAL 143 CELDA A,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_19329_e76f5d96,__export__.product_template_19329_e76f5d96,,"143DINSERT ""A"" XLPE BLACK D-2# PCF ( 215 X 133 X 38 mm)",1.00,RTM-6003,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable),__export__.product_category_27_83cdf959
__import__.product_product_pt_0663_product_template,__import__.product_product_pt_0663_product_template,,14452. VF3894. SEPARADOR,0.08,3894VF FS 30 99 0000 00 000 CARTÓN CORRUGADO - PAD 3894VF MEDIUM,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0665_product_template,__import__.product_product_pt_0665_product_template,,14454. Daimler. TMC. Pad 43 x 36.,1.06,446265 AS  30 99 0000 00 000 CAPA INTERMEDIA- PAD 43X36 DAIMLER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0666_product_template,__import__.product_product_pt_0666_product_template,,14455. 6587RJ. STABOMAT. SEPARADOR.,1.04,6587RJ FS 30 99 0000 00 000 CARTÓN CORRUGADO - LID 6587RJ,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0841_product_template,__import__.product_product_pt_0841_product_template,,14586. Nextracker. 1. Celda Troquelada.,0.00,NEW NEXTRACKER BOX-CELDA-A,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0842_product_template,__import__.product_product_pt_0842_product_template,,14587. Nextracker. 1 y 2. Inserto Troquelada.,0.00,NEW NEXTRACKER BOX-INSERTO,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0898_product_template,__import__.product_product_pt_0898_product_template,,14643  241B. Export. Pad. Pieza.,0.00,241B EXPORT PAD,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0899_product_template,__import__.product_product_pt_0899_product_template,,14644 241B. Export. A. Pieza.,0.00,241B EXPORT INSERTO CELDA A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0900_product_template,__import__.product_product_pt_0900_product_template,,14645 241B. Export. B. Pieza.,0.00,241B EXPORT INSERTO CELDA B,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón),__import__.product_category_007
__import__.product_product_pt_0907_product_template,__import__.product_product_pt_0907_product_template,,14652  241B. Export. Tapa o Pad.,0.00,241B EXPORT TAPA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_1014_product_template,__import__.product_product_pt_1014_product_template,,14759. Shock Tower. Tapa Gral.,0.00,TAPA/CHAROLA SHOCK TOWER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_20988_9016525c,__export__.product_template_20988_9016525c,,14783,1.00,DEFAULT-5530,Consumible,Consumible,Todos,product.product_category_all
__import__.product_product_pt_1038_product_template,__import__.product_product_pt_1038_product_template,,14783. TMC150. Inserto.,0.38,429296 AS 30 99 0000 00 000 INSERTO - INSERT TMC 150 TESLA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_17097_720551eb,__export__.product_template_17097_720551eb,,"1500 MM NYLON 1"" - DECO ASSY DRIVER",1.00,"NYLON 1"" DUNNAGE DECO ASSY DRIVER",Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__export__.product_template_20696_972a1738,__export__.product_template_20696_972a1738,,1520,1.00,DEFAULT-5199,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_20569_bf677cf4,__export__.product_template_20569_bf677cf4,,15676,1.00,DEFAULT-5021,Producto almacenable,Producto almacenable,Todos,product.product_category_all
__export__.product_template_21525_2ecc9319,__export__.product_template_21525_2ecc9319,,15676,1.00,DEFAULT-6070,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_21519_b3c935f6,__export__.product_template_21519_b3c935f6,,15676,1.00,DEFAULT-6064,Consumible,Consumible,Todos,product.product_category_all
__export__.product_template_15676_4f52189a,__export__.product_template_15676_4f52189a,,"15676      34"". Caja Terminada.",1.50,"939069 FS 30 99 0000 00 000 CARTÓN -BOX 939069 34""",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_15686_81eab08d,__export__.product_template_15686_81eab08d,,"15686      48"". Lamina sin Impresión.",0.00,"CAJA INDUSTRIAL 48"" SIN SELLO (PP)",Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__export__.product_template_15687_4fdc16f8,__export__.product_template_15687_4fdc16f8,,"15687      48"". Lamina Troquelada.",0.00,"CAJA INDUSTRIAL 48"" CON SELLO (PP)",Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
