name,categ_id,type,detailed_type
Y0093052 /G906510 EXPENDABLE TAPA W166,14,product,product
DS-MAP POCKET UPPER TAPA Y0093077,14,product,product
TESLA BOX TMC 150,14,product,product
TESLA INSERT TMC 150,14,product,product
Y102007 TRIANGULO K2XL ,14,product,product
U 745,20,product,product
BX.RSC 42 ECT 22X22X8,14,product,product
PAD CHIP 12.75X21.1250,14,product,product
CAR818057,14,product,product
Y0093055 TAPA TUNDRA,14,product,product
Y0093075/DS-MAP POCKET UPPER CAJA,14,product,product
TOOLING BMW EXPORTACIÓN SLEEVE DOBLE,18,service,service
TOOLING CAJA BEZEL/CARRIER G,18,service,service
TOOLING CELDA CARRIER,18,service,service
TOOLING FOR INSERT DJ 694087,18,service,service
TOOLING INSERT 241B,18,service,service
TOOLING INSERT 370B,18,service,service
TOOLING PARA CAJA LEXUS ALTERNO,18,service,service
INSERT 4151ZP                    ,14,product,product
LINER 200  14PE EN 68 X 57 CMS,15,product,product
LINER 200 14PE EN 58 X 33.5 CMS,15,product,product
NEXTRACKER TARIMA   40X40,15,product,product
TARIMA DUCTO / PARA CC91 & P8,15,product,product
CHAROLA 955961,15,product,product
"ESQUINERO 2.75"" x 2.75"" x 27.5"" Cal. 190",15,product,product
ESQUINERO 2.75” x 2.75” x 40” CAL. 225,15,product,product
MICROALAMBRE AINOX,15,product,product
PIEZA D DUNNAGE ENDCAP,30,product,product
WOVEN ADHESIVO   / TELA NO TEJIDA ADHESIVA,27,product,product
ESQUINERO IZQ Y DER,27,product,product
PLASTILONA INCOLORA,27,product,product
ROD GIR 4X2 FENOLICA,15,product,product
PERFIL 10MM,27,product,product
VELCRO AUTOADHERIBLE,27,product,product
COROPLAST 4.0 MM 122X244 NEGRO,15,product,product
755AY / 757AY / 769AY,23,consu,consu
ANCHO DE MAQUINA VERMONT SENCILLO 44,15,product,product
QTR 5PZS GARNISH,14,product,product
SPACER LOAD FLOOR,23,consu,consu
CHAROLA SPACER LOAD FLOOR,14,product,product
CELDA SPACER LOAD FLOOR,14,product,product
CELDA A SPACER LOAD FLOOR,20,product,product
CELDA B SPACER LOAD FLOOR,20,product,product
CAJA HSC INLET SERVICIO,14,product,product
TAPA INLET SERVICIO,14,product,product
PAD INLET SERVICIO,14,product,product
"BOX 939069 34""",14,product,product
TAPA PARA TARIMA DE CARTÓN,20,product,product
TAPA PARA TARIMA DE CARTÓN 73381,20,product,product
TACÓN BAJO,20,product,product
LAMINA PARA CELDA TUNDRA,24,product,product
MITAD DE CUELLO SHOCK TOWER,20,product,product
LAMINA PARA CELDA 989,20,product,product
"939308 SIZE 48"" - MITAD SIN SELLO",24,product,product
"CAJA INDUSTRIAL 48"" CON SELLO",24,product,product
KIT WOM FRONT,14,product,product
KIT WOM REAR,14,product,product
CAJA A HSC QTR LOWER,20,product,product
CAJA PIEZA B HSC QTR LOWER,20,product,product
CAJA HSC QTR LOWER,20,product,product
CELDA A QTR LOWER,20,product,product
CELDA B QTR LOWER,20,product,product
CELDA QTR LOWER,20,product,product
TAPA QTR LOWER,20,product,product
SERVICIO,18,service,service
CELDA C&D 768,20,product,product
CELDA A 378,20,product,product
CELDA B 378,20,product,product
"CAJA INDUSTRIAL 16"" CON SELLO",24,product,product
"CAJA INDUSTRIAL 16"" SIN SELLO",24,product,product
"CAJA INDUSTRIAL 24"" CON SELLO",24,product,product
"CAJA INDUSTRIAL 24"" SIN SELLO",24,product,product
LAMINA VENTILA LAMINADA,20,product,product
LAMINA LENTE ROJO LAMINADA,20,product,product
CORTE CAJA 440,20,product,product
CORTE CAJA VENTILA,20,product,product
CORTE PARA CAJA TRASERO,31,product,product
SERVICE PACKING CARGO BOX (DIVIDER)12X,23,consu,consu
Etiqueta Ropack Material Estireno Cal.20 Medida 171mm X 114mm,25,product,product
ROPAK AUTOMOTRIZ SEMINUEVO CLASE A CON 5 SEPARADORES DE PLASTICO CORRUGADO 4MM SUJETOS AL CONTENEDOR CON TIRA DE NYLON,28,product,product
EQUINERO PARA 746,14,product,product
GUA-KNEC102,28,product,product
GUA-KNET002,28,product,product
GUA-KNEU002,28,product,product
GUA-KNEV002,28,product,product
GUA-KNEW002,28,product,product
CAJA PARA ROLLOS DE VINIL CERVECE,14,product,product
